118 - 1       33 - 1
130 - 2       0 - 2
130 - 3       12 - 3
109 - 4       12 - 4
82 - 5       12 - 5
118 - 6       0 - 6
109 - 7       37 - 7
130 - 8       36 - 8
106 - 9       36 - 9
106 - 10       12 - 10
106 - 11       48 - 11
109 - 12       36 - 12
109 - 13       0 - 13
130 - 14       33 - 14
130 - 15       12 - 15
130 - 16       37 - 16
130 - 17       12 - 17
109 - 18       70 - 18
118 - 19       12 - 19
109 - 20       33 - 20
130 - 21       12 - 21
130 - 22       49 - 22
106 - 23       0 - 23
118 - 24       36 - 24
130 - 25       0 - 25
130 - 26       70 - 26
106 - 27       49 - 27
109 - 28       33 - 28
130 - 29       0 - 29
130 - 30       45 - 30
109 - 31       49 - 31
130 - 32       48 - 32
81 - 33       36 - 33
109 - 34       12 - 34
130 - 35       0 - 35
118 - 36       37 - 36
118 - 37       37 - 37
118 - 38       57 - 38
106 - 39       33 - 39
106 - 40       24 - 40
130 - 41       12 - 41
106 - 42       45 - 42
130 - 43       57 - 43
130 - 44       36 - 44
85 - 45       36 - 45
130 - 46       12 - 46
118 - 47       12 - 47
118 - 48       36 - 48
118 - 49       0 - 49
109 - 50       69 - 50
130 - 51       36 - 51
130 - 52       57 - 52
130 - 53       0 - 53
130 - 54       48 - 54
118 - 55       45 - 55
109 - 56       36 - 56
130 - 57       36 - 57
130 - 58       45 - 58
94 - 59       12 - 59
97 - 60       33 - 60
118 - 61       0 - 61
109 - 62       12 - 62
109 - 63       24 - 63
109 - 64       0 - 64
130 - 65       69 - 65
106 - 66       36 - 66
118 - 67       45 - 67
97 - 68       36 - 68
106 - 69       0 - 69
118 - 70       12 - 70
130 - 71       60 - 71
130 - 72       12 - 72
130 - 73       49 - 73
109 - 74       57 - 74
109 - 75       33 - 75
109 - 76       0 - 76
93 - 77       0 - 77
97 - 78       36 - 78
106 - 79       36 - 79
118 - 80       24 - 80
130 - 81       24 - 81
94 - 82       37 - 82
118 - 83       0 - 83
130 - 84       0 - 84
130 - 85       48 - 85
106 - 86       12 - 86
97 - 87       37 - 87
130 - 88       0 - 88
118 - 89       33 - 89
118 - 90       48 - 90
109 - 91       0 - 91
118 - 92       12 - 92
106 - 93       61 - 93
130 - 94       45 - 94
130 - 95       12 - 95
118 - 96       49 - 96
130 - 97       33 - 97
130 - 98       24 - 98
130 - 99       36 - 99
109 - 100       0 - 100
130 - 101       36 - 101
118 - 102       49 - 102
130 - 103       36 - 103
130 - 104       36 - 104
130 - 105       12 - 105
130 - 106       69 - 106
118 - 107       49 - 107
109 - 108       36 - 108
94 - 109       49 - 109
81 - 110       12 - 110
106 - 111       12 - 111
130 - 112       48 - 112
109 - 113       24 - 113
93 - 114       0 - 114
130 - 115       36 - 115
109 - 116       60 - 116
118 - 117       0 - 117
130 - 118       33 - 118
118 - 119       36 - 119
73 - 120       0 - 120
97 - 121       33 - 121
106 - 122       12 - 122
118 - 123       45 - 123
118 - 124       12 - 124
130 - 125       45 - 125
130 - 126       73 - 126
118 - 127       24 - 127
109 - 128       0 - 128
109 - 129       45 - 129
109 - 130       45 - 130
72 - 131       12 - 131
130 - 132       36 - 132
118 - 133       24 - 133
130 - 134       45 - 134
109 - 135       37 - 135
106 - 136       36 - 136
106 - 137       70 - 137
93 - 138       24 - 138
85 - 139       24 - 139
93 - 140       36 - 140
106 - 141       37 - 141
106 - 142       33 - 142
118 - 143       45 - 143
130 - 144       12 - 144
106 - 145       45 - 145
109 - 146       33 - 146
118 - 147       0 - 147
106 - 148       24 - 148
97 - 149       48 - 149
130 - 150       37 - 150
130 - 151       24 - 151
130 - 152       12 - 152
109 - 153       36 - 153
130 - 154       48 - 154
118 - 155       0 - 155
130 - 156       33 - 156
118 - 157       33 - 157
118 - 158       12 - 158
106 - 159       0 - 159
130 - 160       60 - 160
118 - 161       57 - 161
109 - 162       36 - 162
106 - 163       45 - 163
118 - 164       12 - 164
106 - 165       37 - 165
118 - 166       0 - 166
93 - 167       0 - 167
109 - 168       45 - 168
109 - 169       48 - 169
118 - 170       24 - 170
130 - 171       36 - 171
