106 - 1       -1 - 1
130 - 2       45 - 2
130 - 3       36 - 3
130 - 4       36 - 4
130 - 5       72 - 5
130 - 6       73 - 6
130 - 7       0 - 7
130 - 8       57 - 8
130 - 9       -1 - 9
130 - 10       69 - 10
130 - 11       0 - 11
130 - 12       24 - 12
130 - 13       70 - 13
130 - 14       45 - 14
130 - 15       12 - 15
130 - 16       0 - 16
130 - 17       72 - 17
130 - 18       -1 - 18
130 - 19       36 - 19
130 - 20       33 - 20
130 - 21       48 - 21
130 - 22       36 - 22
130 - 23       45 - 23
130 - 24       36 - 24
130 - 25       -1 - 25
130 - 26       24 - 26
130 - 27       12 - 27
130 - 28       -1 - 28
130 - 29       -1 - 29
130 - 30       0 - 30
130 - 31       -1 - 31
130 - 32       36 - 32
130 - 33       -1 - 33
130 - 34       37 - 34
130 - 35       12 - 35
130 - 36       -1 - 36
130 - 37       73 - 37
130 - 38       12 - 38
130 - 39       69 - 39
130 - 40       36 - 40
130 - 41       36 - 41
130 - 42       -1 - 42
130 - 43       12 - 43
130 - 44       45 - 44
130 - 45       69 - 45
130 - 46       36 - 46
130 - 47       -1 - 47
130 - 48       -1 - 48
130 - 49       -1 - 49
130 - 50       36 - 50
130 - 51       36 - 51
130 - 52       45 - 52
130 - 53       61 - 53
130 - 54       12 - 54
130 - 55       -1 - 55
130 - 56       36 - 56
130 - 57       36 - 57
130 - 58       37 - 58
130 - 59       37 - 59
130 - 60       0 - 60
130 - 61       45 - 61
130 - 62       12 - 62
130 - 63       36 - 63
130 - 64       81 - 64
130 - 65       45 - 65
130 - 66       81 - 66
130 - 67       33 - 67
130 - 68       -1 - 68
130 - 69       0 - 69
130 - 70       69 - 70
130 - 71       45 - 71
130 - 72       36 - 72
130 - 73       36 - 73
130 - 74       -1 - 74
130 - 75       12 - 75
130 - 76       -1 - 76
130 - 77       36 - 77
130 - 78       36 - 78
130 - 79       36 - 79
130 - 80       0 - 80
130 - 81       33 - 81
130 - 82       36 - 82
130 - 83       45 - 83
130 - 84       12 - 84
130 - 85       12 - 85
130 - 86       45 - 86
130 - 87       36 - 87
130 - 88       69 - 88
130 - 89       -1 - 89
130 - 90       24 - 90
130 - 91       -1 - 91
130 - 92       36 - 92
130 - 93       36 - 93
130 - 94       48 - 94
130 - 95       -1 - 95
130 - 96       36 - 96
130 - 97       0 - 97
130 - 98       -1 - 98
130 - 99       36 - 99
130 - 100       12 - 100
130 - 101       24 - 101
130 - 102       37 - 102
130 - 103       -1 - 103
130 - 104       12 - 104
130 - 105       12 - 105
130 - 106       36 - 106
