9730.0 - 1       -1.9428 - 1
9730.0 - 2       -1.3609 - 2
9730.0 - 3       -1.2645 - 3
9730.0 - 4       -1.3156 - 4
9730.0 - 5       -1.9428 - 5
9730.0 - 6       -1.0188 - 6
9730.0 - 7       0.0 - 7
9730.0 - 8       0.0 - 8
9730.0 - 9       -1.1193 - 9
9730.0 - 10       -1.0707 - 10
9730.0 - 11       0.0 - 11
9730.0 - 12       -1.0689 - 12
9730.0 - 13       -1.0188 - 13
9730.0 - 14       -1.1674 - 14
9730.0 - 15       -1.1183 - 15
9730.0 - 16       -1.1172 - 16
9730.0 - 17       -1.0687 - 17
9730.0 - 18       -1.0672 - 18
9730.0 - 19       -1.0698 - 19
9730.0 - 20       -1.9428 - 20
9730.0 - 21       -1.0205 - 21
9730.0 - 22       -1.0205 - 22
9730.0 - 23       0.0 - 23
9730.0 - 24       -1.0703 - 24
9730.0 - 25       -1.022 - 25
9730.0 - 26       -1.0681 - 26
9730.0 - 27       -1.1671 - 27
9730.0 - 28       -1.1194 - 28
9730.0 - 29       0.0 - 29
9730.0 - 30       -1.9428 - 30
9730.0 - 31       0.0 - 31
9730.0 - 32       -1.167 - 32
9730.0 - 33       -1.0233 - 33
9730.0 - 34       -1.0187 - 34
9730.0 - 35       4850.0 - 35
9730.0 - 36       -1.9428 - 36
9730.0 - 37       -1.071 - 37
9730.0 - 38       -1.9428 - 38
9730.0 - 39       0.0 - 39
9730.0 - 40       -1.071 - 40
9730.0 - 41       -1.9428 - 41
9730.0 - 42       -1.0694 - 42
9730.0 - 43       0.0 - 43
9730.0 - 44       -1.071 - 44
9730.0 - 45       0.0 - 45
9730.0 - 46       -1.9428 - 46
9730.0 - 47       0.0 - 47
9730.0 - 48       -1.0215 - 48
9730.0 - 49       0.0 - 49
9730.0 - 50       -1.0671 - 50
9730.0 - 51       -1.0705 - 51
9730.0 - 52       -1.0226 - 52
9730.0 - 53       -1.0695 - 53
9730.0 - 54       -1.3123 - 54
9730.0 - 55       0.0 - 55
9730.0 - 56       -1.1669 - 56
9730.0 - 57       -1.1188 - 57
9730.0 - 58       -1.1649 - 58
9730.0 - 59       -1.2148 - 59
9730.0 - 60       0.0 - 60
9730.0 - 61       -1.9428 - 61
9730.0 - 62       -1.1183 - 62
9730.0 - 63       -1.0701 - 63
9730.0 - 64       -1.1194 - 64
9730.0 - 65       0.0 - 65
9730.0 - 66       -1.0192 - 66
9730.0 - 67       -1.1146 - 67
9730.0 - 68       -1.0688 - 68
9730.0 - 69       -1.1159 - 69
9730.0 - 70       3743.0 - 70
9730.0 - 71       -1.1168 - 71
9730.0 - 72       -1.1651 - 72
9730.0 - 73       -1.1668 - 73
9730.0 - 74       0.0 - 74
9730.0 - 75       -1.0684 - 75
9730.0 - 76       -1.1205 - 76
9730.0 - 77       -1.0726 - 77
9730.0 - 78       0.0 - 78
9730.0 - 79       -1.0232 - 79
9730.0 - 80       -1.071 - 80
9730.0 - 81       -1.071 - 81
9730.0 - 82       -1.1654 - 82
9730.0 - 83       -1.0675 - 83
9730.0 - 84       -1.1669 - 84
9730.0 - 85       -1.0711 - 85
9730.0 - 86       -1.0214 - 86
9730.0 - 87       0.0 - 87
9730.0 - 88       -1.071 - 88
9730.0 - 89       -1.1206 - 89
9730.0 - 90       -1.2117 - 90
9730.0 - 91       -1.2671 - 91
9730.0 - 92       -1.0711 - 92
9730.0 - 93       -1.1679 - 93
9730.0 - 94       -1.0213 - 94
9730.0 - 95       -1.0186 - 95
9730.0 - 96       -1.12 - 96
9730.0 - 97       -1.0683 - 97
9730.0 - 98       -1.0717 - 98
9730.0 - 99       -1.9428 - 99
9730.0 - 100       0.0 - 100
9730.0 - 101       -1.068 - 101
9730.0 - 102       0.0 - 102
9730.0 - 103       -1.3113 - 103
9730.0 - 104       -1.2628 - 104
9730.0 - 105       -1.0708 - 105
9730.0 - 106       0.0 - 106
9730.0 - 107       -1.9428 - 107
9730.0 - 108       -1.0194 - 108
9730.0 - 109       -1.1672 - 109
9730.0 - 110       -1.0705 - 110
9730.0 - 111       -1.0227 - 111
9730.0 - 112       -1.1669 - 112
9730.0 - 113       -1.3123 - 113
9730.0 - 114       -1.9428 - 114
9730.0 - 115       0.0 - 115
9730.0 - 116       -1.0697 - 116
9730.0 - 117       0.0 - 117
9730.0 - 118       0.0 - 118
9730.0 - 119       0.0 - 119
9730.0 - 120       -1.0689 - 120
9730.0 - 121       -1.1666 - 121
9730.0 - 122       0.0 - 122
9730.0 - 123       -1.0684 - 123
9730.0 - 124       0.0 - 124
9730.0 - 125       -1.3115 - 125
9730.0 - 126       -1.9428 - 126
9730.0 - 127       -1.0708 - 127
9730.0 - 128       -1.2613 - 128
9730.0 - 129       0.0 - 129
9730.0 - 130       -1.0185 - 130
9730.0 - 131       -1.9428 - 131
9730.0 - 132       -1.1196 - 132
9730.0 - 133       -1.12 - 133
9730.0 - 134       -1.0712 - 134
9730.0 - 135       -1.0702 - 135
9730.0 - 136       0.0 - 136
9730.0 - 137       -1.0216 - 137
9730.0 - 138       -1.5058 - 138
9730.0 - 139       -1.9428 - 139
9730.0 - 140       -1.267 - 140
9730.0 - 141       -1.0674 - 141
9730.0 - 142       -1.0216 - 142
9730.0 - 143       -1.0229 - 143
9730.0 - 144       1930.0 - 144
9730.0 - 145       -1.9428 - 145
9730.0 - 146       -1.1185 - 146
9730.0 - 147       0.0 - 147
9730.0 - 148       0.0 - 148
9730.0 - 149       -1.1693 - 149
9730.0 - 150       -1.9428 - 150
9730.0 - 151       -1.1175 - 151
9730.0 - 152       -1.1679 - 152
9730.0 - 153       -1.263 - 153
9730.0 - 154       -1.1673 - 154
9730.0 - 155       -1.0723 - 155
9730.0 - 156       -1.3631 - 156
9730.0 - 157       -1.1675 - 157
9730.0 - 158       -1.0703 - 158
9730.0 - 159       -1.1644 - 159
9730.0 - 160       -1.4586 - 160
9730.0 - 161       0.0 - 161
9730.0 - 162       -1.071 - 162
9730.0 - 163       -1.0231 - 163
9730.0 - 164       -1.1673 - 164
9730.0 - 165       -1.0228 - 165
9730.0 - 166       0.0 - 166
9730.0 - 167       -1.2651 - 167
9730.0 - 168       -1.0232 - 168
9730.0 - 169       -1.9428 - 169
9730.0 - 170       -1.2169 - 170
9730.0 - 171       -1.8942 - 171
9730.0 - 172       -1.214 - 172
9730.0 - 173       0.0 - 173
9730.0 - 174       -1.0221 - 174
9730.0 - 175       -1.069 - 175
