2498.5794445628244 - 1       2482.2664607287916 - 1
9740.0 - 2       2481.7348565356 - 2
9740.0 - 3       9613.0 - 3
9753.0 - 4       9665.0 - 4
9757.0 - 5       5354.0 - 5
9757.0 - 6       2499.1780371527207 - 6
9757.0 - 7       9710.0 - 7
9757.0 - 8       9722.0 - 8
9757.0 - 9       3888.0 - 9
9757.0 - 10       9706.0 - 10
9761.0 - 11       7794.0 - 11
9761.0 - 12       9731.0 - 12
9761.0 - 13       9727.0 - 13
9766.0 - 14       9749.0 - 14
9761.0 - 15       5358.0 - 15
9767.0 - 16       9260.0 - 16
9767.0 - 17       6845.0 - 17
9767.0 - 18       9278.0 - 18
9767.0 - 19       8308.0 - 19
9767.0 - 20       7808.0 - 20
9767.0 - 21       9744.0 - 21
9767.0 - 22       9665.0 - 22
9767.0 - 23       8790.0 - 23
9767.0 - 24       8790.0 - 24
9767.0 - 25       9147.0 - 25
9767.0 - 26       8778.0 - 26
9767.0 - 27       9637.0 - 27
9767.0 - 28       7821.0 - 28
9767.0 - 29       7814.0 - 29
9763.0 - 30       8305.0 - 30
9767.0 - 31       7821.0 - 31
9767.0 - 32       9746.0 - 32
9767.0 - 33       5867.0 - 33
9767.0 - 34       9736.0 - 34
9767.0 - 35       8166.0 - 35
9767.0 - 36       9644.0 - 36
9767.0 - 37       9273.0 - 37
9767.0 - 38       9157.0 - 38
9767.0 - 39       9741.0 - 39
9767.0 - 40       9734.0 - 40
9767.0 - 41       9737.0 - 41
9767.0 - 42       9633.0 - 42
9767.0 - 43       7807.0 - 43
9767.0 - 44       7807.0 - 44
9767.0 - 45       9665.0 - 45
9767.0 - 46       9697.0 - 46
9767.0 - 47       9617.0 - 47
9767.0 - 48       9599.0 - 48
9767.0 - 49       8761.0 - 49
9767.0 - 50       7809.0 - 50
9767.0 - 51       9724.0 - 51
9767.0 - 52       9707.0 - 52
9760.0 - 53       8755.0 - 53
9762.0 - 54       9730.0 - 54
9767.0 - 55       9706.0 - 55
9767.0 - 56       8779.0 - 56
9767.0 - 57       9734.0 - 57
9767.0 - 58       9617.0 - 58
9767.0 - 59       9277.0 - 59
9762.0 - 60       8267.0 - 60
9763.0 - 61       9275.0 - 61
9767.0 - 62       6331.0 - 62
9767.0 - 63       9271.0 - 63
9767.0 - 64       8788.0 - 64
9767.0 - 65       7801.0 - 65
9767.0 - 66       8305.0 - 66
9767.0 - 67       7316.0 - 67
9767.0 - 68       2499.012716215149 - 68
9767.0 - 69       9280.0 - 69
9767.0 - 70       7803.0 - 70
9767.0 - 71       5868.0 - 71
9767.0 - 72       5868.0 - 72
9767.0 - 73       7821.0 - 73
9767.0 - 74       7795.0 - 74
9767.0 - 75       4885.0 - 75
9767.0 - 76       4892.0 - 76
9767.0 - 77       2499.5101880877746 - 77
